category_name,category_name_id
Sporting Goods,1
Cleats,2
Shop By Sport,3
Women's Apparel,4
Boxing & MMA,5
Cardio Equipment,6
Men's Footwear,7
Camping & Hiking,8
Cameras ,9
Computers,10
Baseball & Softball,11
Electronics,12
Girls' Apparel,13
Accessories,14
Crafts,15
Women's Clothing,16
Men's Clothing,17
Golf Balls,18
Trade-In,19
Tennis & Racquet,20
Strength Training,21
Children's Clothing,22
Baby ,23
Fishing,24
Basketball,25
Kids' Golf Clubs,26
Soccer,27
Fitness Accessories,28
Hunting & Shooting,29
Garden,30
Hockey,31
Health and Beauty,32
CDs ,33
Music,34
Lacrosse,35
Books ,36
Video Games,37
Consumer Electronics,38
As Seen on  TV!,39
