date_id,date_time,full_date,day,month,year
1,2018-01-13 12:27:00,2018-01-13,13,1,2018
2,2018-01-13 12:06:00,2018-01-13,13,1,2018
3,2018-01-13 11:45:00,2018-01-13,13,1,2018
4,2018-01-13 11:24:00,2018-01-13,13,1,2018
5,2018-01-13 11:03:00,2018-01-13,13,1,2018
6,2018-01-13 10:42:00,2018-01-13,13,1,2018
7,2018-01-13 10:21:00,2018-01-13,13,1,2018
8,2018-01-13 10:00:00,2018-01-13,13,1,2018
9,2018-01-13 09:39:00,2018-01-13,13,1,2018
10,2018-01-13 09:18:00,2018-01-13,13,1,2018
11,2018-01-13 08:57:00,2018-01-13,13,1,2018
12,2018-01-13 08:36:00,2018-01-13,13,1,2018
13,2018-01-13 08:15:00,2018-01-13,13,1,2018
14,2018-01-13 07:54:00,2018-01-13,13,1,2018
15,2018-01-13 07:33:00,2018-01-13,13,1,2018
16,2018-01-13 07:12:00,2018-01-13,13,1,2018
17,2018-01-13 06:51:00,2018-01-13,13,1,2018
18,2018-01-13 06:30:00,2018-01-13,13,1,2018
19,2018-01-13 06:09:00,2018-01-13,13,1,2018
20,2018-01-13 05:48:00,2018-01-13,13,1,2018
21,2018-01-13 05:27:00,2018-01-13,13,1,2018
22,2018-01-13 05:06:00,2018-01-13,13,1,2018
23,2018-01-13 04:45:00,2018-01-13,13,1,2018
24,2018-01-13 04:24:00,2018-01-13,13,1,2018
25,2018-01-13 04:03:00,2018-01-13,13,1,2018
26,2018-01-13 03:42:00,2018-01-13,13,1,2018
27,2018-01-13 03:21:00,2018-01-13,13,1,2018
28,2018-01-13 03:00:00,2018-01-13,13,1,2018
29,2018-01-13 02:39:00,2018-01-13,13,1,2018
30,2018-01-13 02:18:00,2018-01-13,13,1,2018
31,2018-01-13 01:57:00,2018-01-13,13,1,2018
32,2018-01-13 01:36:00,2018-01-13,13,1,2018
33,2018-01-13 01:15:00,2018-01-13,13,1,2018
34,2018-01-13 00:54:00,2018-01-13,13,1,2018
35,2018-01-13 00:33:00,2018-01-13,13,1,2018
36,2018-01-13 00:12:00,2018-01-13,13,1,2018
37,2016-02-24 13:57:00,2016-02-24,24,2,2016
38,2016-10-25 14:39:00,2016-10-25,25,10,2016
39,2015-10-25 06:24:00,2015-10-25,25,10,2015
40,2016-08-24 21:45:00,2016-08-24,24,8,2016
41,2016-04-13 10:12:00,2016-04-13,13,4,2016
42,2016-05-22 14:10:00,2016-05-22,22,5,2016
43,2017-07-22 07:16:00,2017-07-22,22,7,2017
44,2015-09-22 07:41:00,2015-09-22,22,9,2015
45,2017-08-20 07:03:00,2017-08-20,20,8,2017
46,2017-09-18 01:14:00,2017-09-18,18,9,2017
47,2015-04-25 04:44:00,2015-04-25,25,4,2015
48,2015-04-25 01:14:00,2015-04-25,25,4,2015
49,2017-02-18 16:36:00,2017-02-18,18,2,2017
50,2015-04-26 03:10:00,2015-04-26,26,4,2015
51,2017-03-16 02:54:00,2017-03-16,16,3,2017
52,2015-03-29 10:33:00,2015-03-29,29,3,2015
53,2017-02-18 13:05:00,2017-02-18,18,2,2017
54,2017-01-18 19:37:00,2017-01-18,18,1,2017
55,2015-03-13 18:59:00,2015-03-13,13,3,2015
56,2017-04-13 14:25:00,2017-04-13,13,4,2017
57,2017-03-25 23:02:00,2017-03-25,25,3,2017
58,2017-04-15 14:04:00,2017-04-15,15,4,2017
59,2015-02-15 18:40:00,2015-02-15,15,2,2015
60,2017-05-27 16:48:00,2017-05-27,27,5,2017
61,2015-01-15 04:32:00,2015-01-15,15,1,2015
62,2017-04-20 18:47:00,2017-04-20,20,4,2017
63,2017-05-16 21:33:00,2017-05-16,16,5,2017
64,2015-05-27 01:32:00,2015-05-27,27,5,2015
65,2017-02-13 16:05:00,2017-02-13,13,2,2017
66,2017-05-27 23:28:00,2017-05-27,27,5,2017
67,2017-03-19 19:53:00,2017-03-19,19,3,2017
68,2017-04-14 18:06:00,2017-04-14,14,4,2017
69,2017-03-26 15:30:00,2017-03-26,26,3,2017
70,2017-02-17 11:52:00,2017-02-17,17,2,2017
71,2017-01-25 01:13:00,2017-01-25,25,1,2017
72,2017-05-22 06:08:00,2017-05-22,22,5,2017
73,2017-02-21 01:00:00,2017-02-21,21,2,2017
74,2017-01-15 04:44:00,2017-01-15,15,1,2017
75,2016-09-19 13:39:00,2016-09-19,19,9,2016
76,2016-08-25 22:16:00,2016-08-25,25,8,2016
77,2017-10-14 11:42:00,2017-10-14,14,10,2017
78,2017-10-16 01:12:00,2017-10-16,16,10,2017
79,2017-10-13 03:08:00,2017-10-13,13,10,2017
80,2017-10-13 08:44:00,2017-10-13,13,10,2017
81,2017-10-13 14:41:00,2017-10-13,13,10,2017
82,2017-10-26 14:51:00,2017-10-26,26,10,2017
83,2017-10-13 13:59:00,2017-10-13,13,10,2017
84,2017-10-17 11:32:00,2017-10-17,17,10,2017
85,2017-10-13 12:35:00,2017-10-13,13,10,2017
86,2017-10-13 18:11:00,2017-10-13,13,10,2017
87,2017-10-26 18:21:00,2017-10-26,26,10,2017
88,2015-09-17 23:17:00,2015-09-17,17,9,2015
89,2015-08-17 18:35:00,2015-08-17,17,8,2015
90,2015-09-23 09:57:00,2015-09-23,23,9,2015
91,2015-10-23 08:31:00,2015-10-23,23,10,2015
92,2016-08-14 02:51:00,2016-08-14,14,8,2016
93,2016-05-18 16:38:00,2016-05-18,18,5,2016
94,2016-04-21 02:50:00,2016-04-21,21,4,2016
95,2016-12-17 08:48:00,2016-12-17,17,12,2016
96,2016-07-27 06:01:00,2016-07-27,27,7,2016
97,2016-07-17 10:14:00,2016-07-17,17,7,2016
98,2017-01-16 22:04:00,2017-01-16,16,1,2017
99,2016-09-16 01:13:00,2016-09-16,16,9,2016
100,2016-10-20 03:59:00,2016-10-20,20,10,2016
101,2016-08-25 18:46:00,2016-08-25,25,8,2016
102,2016-11-19 21:27:00,2016-11-19,19,11,2016
103,2016-09-14 05:26:00,2016-09-14,14,9,2016
104,2017-01-14 14:22:00,2017-01-14,14,1,2017
105,2016-09-17 23:07:00,2016-09-17,17,9,2016
106,2016-11-14 13:14:00,2016-11-14,14,11,2016
107,2016-11-22 02:00:00,2016-11-22,22,11,2016
108,2016-02-16 04:09:00,2016-02-16,16,2,2016
109,2016-03-26 08:07:00,2016-03-26,26,3,2016
110,2016-02-14 05:54:00,2016-02-14,14,2,2016
111,2016-09-17 04:12:00,2016-09-17,17,9,2016
112,2017-12-27 20:01:00,2017-12-27,27,12,2017
113,2016-03-15 07:58:00,2016-03-15,15,3,2016
114,2016-03-28 00:25:00,2016-03-28,28,3,2016
115,2016-03-14 20:03:00,2016-03-14,14,3,2016
116,2015-11-18 09:53:00,2015-11-18,18,11,2015
117,2015-12-20 16:29:00,2015-12-20,20,12,2015
118,2015-12-13 22:17:00,2015-12-13,13,12,2015
119,2017-12-14 15:39:00,2017-12-14,14,12,2017
120,2016-03-15 03:45:00,2016-03-15,15,3,2016
121,2016-03-16 10:14:00,2016-03-16,16,3,2016
122,2018-01-28 15:46:00,2018-01-28,28,1,2018
123,2015-12-18 05:59:00,2015-12-18,18,12,2015
124,2017-01-17 12:26:00,2017-01-17,17,1,2017
125,2017-12-13 20:44:00,2017-12-13,13,12,2017
126,2017-12-26 18:26:00,2017-12-26,26,12,2017
127,2016-01-27 12:14:00,2016-01-27,27,1,2016
128,2016-11-17 04:59:00,2016-11-17,17,11,2016
129,2016-12-29 15:26:00,2016-12-29,29,12,2016
130,2017-11-24 19:11:00,2017-11-24,24,11,2017
131,2016-10-26 06:25:00,2016-10-26,26,10,2016
132,2016-10-19 06:36:00,2016-10-19,19,10,2016
133,2016-11-26 12:30:00,2016-11-26,26,11,2016
134,2016-10-20 21:30:00,2016-10-20,20,10,2016
135,2016-12-19 09:30:00,2016-12-19,19,12,2016
136,2016-12-28 18:46:00,2016-12-28,28,12,2016
137,2016-10-18 14:29:00,2016-10-18,18,10,2016
138,2015-10-13 22:53:00,2015-10-13,13,10,2015
139,2015-08-14 16:40:00,2015-08-14,14,8,2015
140,2017-07-29 19:42:00,2017-07-29,29,7,2017
141,2017-06-28 22:43:00,2017-06-28,28,6,2017
142,2015-06-15 10:27:00,2015-06-15,15,6,2015
143,2016-11-17 02:32:00,2016-11-17,17,11,2016
144,2017-07-15 03:15:00,2017-07-15,15,7,2017
145,2017-09-13 07:01:00,2017-09-13,13,9,2017
146,2016-11-16 10:04:00,2016-11-16,16,11,2016
147,2017-03-13 21:18:00,2017-03-13,13,3,2017
148,2017-02-21 05:12:00,2017-02-21,21,2,2017
149,2015-04-19 04:03:00,2015-04-19,19,4,2015
150,2015-03-20 01:17:00,2015-03-20,20,3,2015
151,2017-05-22 01:56:00,2017-05-22,22,5,2017
152,2017-05-18 12:26:00,2017-05-18,18,5,2017
153,2015-02-20 11:29:00,2015-02-20,20,2,2015
154,2017-02-19 07:19:00,2017-02-19,19,2,2017
155,2017-03-26 23:33:00,2017-03-26,26,3,2017
156,2017-04-24 03:43:00,2017-04-24,24,4,2017
157,2015-03-22 16:21:00,2015-03-22,22,3,2015
158,2015-05-22 07:20:00,2015-05-22,22,5,2015
159,2017-02-16 00:50:00,2017-02-16,16,2,2017
160,2015-02-21 15:31:00,2015-02-21,21,2,2015
161,2015-03-25 08:49:00,2015-03-25,25,3,2015
162,2015-05-16 21:00:00,2015-05-16,16,5,2015
163,2015-02-15 16:13:00,2015-02-15,15,2,2015
164,2016-12-23 21:03:00,2016-12-23,23,12,2016
165,2016-03-18 08:50:00,2016-03-18,18,3,2016
166,2015-11-19 05:51:00,2015-11-19,19,11,2015
167,2016-02-17 23:35:00,2016-02-17,17,2,2016
168,2016-07-25 14:47:00,2016-07-25,25,7,2016
169,2016-05-20 12:25:00,2016-05-20,20,5,2016
170,2016-11-20 21:38:00,2016-11-20,20,11,2016
171,2016-10-15 12:55:00,2016-10-15,15,10,2016
172,2015-07-22 17:56:00,2015-07-22,22,7,2015
173,2015-06-15 05:54:00,2015-06-15,15,6,2015
174,2015-06-24 05:21:00,2015-06-24,24,6,2015
175,2017-09-24 13:08:00,2017-09-24,24,9,2017
176,2016-10-29 18:30:00,2016-10-29,29,10,2016
177,2015-07-20 11:58:00,2015-07-20,20,7,2015
178,2016-12-25 08:26:00,2016-12-25,25,12,2016
179,2017-01-27 18:23:00,2017-01-27,27,1,2017
180,2017-02-15 14:40:00,2017-02-15,15,2,2017
181,2015-03-15 14:05:00,2015-03-15,15,3,2015
182,2017-03-21 07:37:00,2017-03-21,21,3,2017
183,2015-12-26 23:29:00,2015-12-26,26,12,2015
184,2015-11-16 16:53:00,2015-11-16,16,11,2015
185,2015-12-19 15:58:00,2015-12-19,19,12,2015
186,2016-04-13 14:24:00,2016-04-13,13,4,2016
187,2016-06-13 10:17:00,2016-06-13,13,6,2016
188,2015-09-16 15:24:00,2015-09-16,16,9,2015
189,2015-08-19 03:10:00,2015-08-19,19,8,2015
190,2017-08-25 10:44:00,2017-08-25,25,8,2017
191,2017-09-19 07:43:00,2017-09-19,19,9,2017
192,2017-01-17 18:23:00,2017-01-17,17,1,2017
193,2017-09-16 00:32:00,2017-09-16,16,9,2017
194,2015-08-14 02:18:00,2015-08-14,14,8,2015
195,2015-07-13 00:57:00,2015-07-13,13,7,2015
196,2015-07-13 03:24:00,2015-07-13,13,7,2015
197,2017-08-13 22:39:00,2017-08-13,13,8,2017
198,2017-07-22 19:53:00,2017-07-22,22,7,2017
199,2015-09-20 21:00:00,2015-09-20,20,9,2015
200,2017-09-21 04:33:00,2017-09-21,21,9,2017
201,2016-12-25 23:09:00,2016-12-25,25,12,2016
202,2015-08-29 01:24:00,2015-08-29,29,8,2015
203,2015-09-20 19:36:00,2015-09-20,20,9,2015
204,2017-08-15 17:24:00,2017-08-15,15,8,2017
205,2015-09-18 23:06:00,2015-09-18,18,9,2015
206,2015-07-23 21:57:00,2015-07-23,23,7,2015
207,2015-07-18 17:14:00,2015-07-18,18,7,2015
208,2015-10-14 05:54:00,2015-10-14,14,10,2015
209,2015-10-21 04:19:00,2015-10-21,21,10,2015
210,2015-09-24 07:41:00,2015-09-24,24,9,2015
211,2015-10-17 06:25:00,2015-10-17,17,10,2015
212,2015-07-25 06:53:00,2015-07-25,25,7,2015
