profit_fact_id,date_id,shipping_mode_id,order_region_id,category_name_id,profit_value
1,,1,1,1,
2,,1,1,1,
3,,1,2,1,
4,,1,2,1,
5,,1,2,1,
6,,2,3,1,
7,,2,3,1,
8,,3,3,1,
9,,2,3,1,
10,,3,3,1,
11,,3,4,1,
12,,3,4,1,
13,,2,1,1,
14,,2,1,1,
15,,2,1,1,
16,,3,3,1,
17,,2,1,1,
18,,2,1,1,
19,,4,1,1,
20,,4,1,1,
21,,1,1,1,
22,,3,2,1,
23,,3,2,1,
24,,3,2,1,
25,,3,2,1,
26,,3,2,1,
27,,1,3,1,
28,,1,3,1,
29,,1,3,1,
30,,1,3,1,
31,,1,1,1,
32,,1,1,1,
33,,2,3,1,
34,,2,3,1,
35,,2,4,1,
36,,2,1,1,
37,,3,1,2,-30.75
38,,3,5,3,
39,,3,1,4,
40,,3,6,5,
41,,3,6,2,
42,,3,7,2,
43,,3,8,6,
44,,3,8,2,
45,,3,8,2,
46,,3,8,4,
47,,3,8,4,
48,,3,9,2,
49,,3,10,2,
50,,3,10,2,
51,,3,10,2,
52,,3,11,4,72.0
53,,3,9,4,
54,,3,11,4,
55,,3,11,4,
56,,3,11,4,
57,,3,10,3,
58,,1,10,4,
59,,1,10,4,
60,,1,9,4,22.05
61,,1,11,3,
62,,1,11,4,
63,,1,10,4,
64,,1,9,3,
65,,1,9,4,-140.0
66,,1,11,4,
67,,1,10,4,
68,,1,10,6,
69,,1,11,6,36.0
70,,1,10,6,
71,,1,11,6,
72,,1,11,2,
73,,1,11,2,
74,,1,11,2,
75,,1,11,2,
76,,1,11,2,
77,,3,12,6,
78,,3,13,7,
79,,3,14,7,
80,,3,14,8,
81,,3,8,9,
82,,3,8,9,
83,,3,15,9,
84,,3,8,9,
85,,3,15,9,
86,,3,8,10,86.0
87,,3,15,9,
88,,3,16,9,
89,,3,8,9,
90,,3,16,9,
91,,3,16,10,90.0
92,,3,16,11,
93,,3,16,6,
94,,3,8,12,
95,,3,8,6,
96,,1,6,6,
97,,1,6,2,
98,,1,17,2,
99,,1,17,13,
100,,1,18,4,
101,,1,18,4,
102,,1,17,3,
103,,1,7,14,
104,,1,19,4,90.0
105,,1,19,3,
106,,1,13,6,
107,,1,14,2,
108,,1,14,4,
109,,1,14,4,-459.0
110,,1,14,4,-248.0
111,,1,13,6,
112,,1,13,6,
113,,1,13,6,
114,,1,20,6,
115,,1,2,2,
116,,1,2,7,
117,,1,1,7,
118,,1,5,2,14.25
119,,1,3,15,
120,,1,2,2,
121,,1,2,7,
122,,1,2,7,
123,,1,1,7,
124,,1,4,7,
125,,1,3,7,
126,,1,3,16,
127,,1,2,2,
128,,1,2,7,
129,,1,2,16,
130,,1,1,7,
131,,1,1,7,
132,,1,1,16,-140.5
133,,1,4,15,
134,,1,4,7,
135,,1,5,7,
136,,1,21,7,
137,,1,3,17,
138,,1,19,4,
139,,1,19,3,
140,,1,13,4,
141,,1,12,4,
142,,1,19,4,
143,,1,14,12,
144,,1,14,3,
145,,1,8,11,
146,,1,15,12,
147,,1,8,6,
148,,1,8,6,
149,,1,8,12,
150,,1,22,6,
151,,1,15,6,
152,,1,8,6,
153,,1,22,6,
154,,1,11,2,
155,,1,11,2,
156,,1,10,3,
157,,1,11,4,
158,,1,9,4,
159,,1,11,3,
160,,1,9,3,
161,,1,10,4,
162,,1,11,13,
163,,1,10,3,
164,,1,11,4,
165,,1,11,4,
166,,1,11,13,
167,,1,10,4,
168,,1,11,4,
169,,1,10,14,
170,,1,10,18,
171,,3,11,4,
172,,3,5,6,
173,,3,2,3,
174,,3,3,2,
175,,3,1,19,
176,,3,6,2,
177,,3,6,20,
178,,3,6,6,
179,,3,7,4,
180,,3,20,6,
181,,3,20,12,
182,,3,8,6,
183,,3,8,6,
184,,3,8,4,
185,,3,8,3,
186,,3,22,4,
187,,3,16,4,
188,,3,22,3,
189,,3,8,3,
190,,3,22,14,
191,,3,11,6,
192,,3,11,2,
193,,3,10,4,
194,,3,11,3,
195,,3,11,4,
196,,3,2,3,
197,,3,4,4,
198,,3,5,4,
199,,3,2,14,
200,,3,6,4,
201,,3,6,12,
